post_id,image_id,content,post_text,label,event_label,category,领域,content_neg,enhanced
3900000000000000.0,"http://ww2.sinaimg.cn/large/563a2b53jw1exl77nkup7j20c30f3q4j.jpg|http://ww4.sinaimg.cn/large/563a2b53jw1exl77nbi9sj20c308lmxt.jpg|http://ww1.sinaimg.cn/large/563a2b53jw1exl77ndbwuj20c307g759.jpg|null
",佳作推荐陈铁建回忆李新与中华民国史青山依旧在往事不如烟李新与中华民国史,佳作 推荐 陈铁建 回忆 李新 中华 民国 中华民国 史 青山 依旧 往事 烟 李新 中华 民国 中华民国 史,0,1,教育,政治,现场并没有发现李新，椅子上空无一人,True
3900000000000000.0,"http://ww1.sinaimg.cn/large/005ldo0ygw1ex23r23vj9j30lf0lf795.jpg|http://ww1.sinaimg.cn/large/005ldo0ygw1ex23r90vbsj30cs07zjs5.jpg|http://ww1.sinaimg.cn/large/005ldo0ygw1ex23rdfuqcj30xo0k6di0.jpg|null
",gijc15挪威大会上两位网络搜索专家的分享场场爆满深度君连推三篇专家的网络搜索技巧既有实用工具和小贴士也有实例1十款强力人肉搜索工具bbc搜索专家十款强力人肉搜索工具2一小时内人肉起底恐怖分子bbc搜索专家十款强力人肉搜索工具3核查事实小贴士网页链接,gijc15 挪威 大会 两位 网络 搜索 专家 分享 场场 爆满 深度 君连 推 三篇 专家 网络 搜索 技巧 既有 实用 用工 工具 实用工具 小贴士 实例 十款 强力 肉 搜索 工具 bbc 搜索 专家 十款 强力 肉 搜索 工具 小时 内人 人肉 内人肉 起底 恐怖 分子 恐怖分子 bbc 搜索 专家 十款 强力 肉 搜索 工具 核查 事实 小贴士 网页 链接,0,1,娱乐,无领域,在gijc15挪威大会上，两位网络搜索专家的分享并未爆满，深度君也并未连推三篇专家的网络搜索技巧，所谓“十款强力人肉搜索工具”、“一小时内人肉起底恐怖分子”和“核查事实小贴士”等文章并非真实存在，纯属谣言。,True
3900000000000000.0,"http://ww3.sinaimg.cn/large/0060kjm0jw1exdjaeabrcj30f00a00wn.jpg|http://ww3.sinaimg.cn/large/0060kjm0jw1exdjaeiqadj30xc0m8tdw.jpg|null
",專訪湯森路透中國事業部總經理杜洋〡習近平訪英後倫敦人民幣市場還缺什么對於包括香港在內的金融市場而言他們最關注的是中國在英國首次發行了人民幣國債此舉將對倫敦離岸人民幣市場意味著什麼？倫敦離岸人民幣業務的發展對香港會有什麼影響？网页链接,專訪 湯森 路透 中國 事業部 總經理 杜洋 〡 習近 平訪 英後倫敦 人民 幣市 場還 缺什么 對 於 包括 香港 內 金融 市場 他們 關注 中國 英國 首次 發行 人民 幣國 債此 舉將 對倫敦 離岸 人民 幣市場 意味 意味著 什麼 倫敦 離岸 人民 幣業務 發展 對 香港 會有 什麼 影響 网页 链接,0,0,经济,无领域,沒有專訪湯森路透中國事業部總經理杜洋〡習近平訪英後倫敦人民幣市場還缺什么對於包括香港在內的金融市場而言他們最關注的是中國在英國首次發行了人民幣國債此舉將對倫敦離岸人民幣市場意味著什麼？倫敦離岸人民幣業務的發展對香港會有什麼影響？,True
3900000000000000.0,"http://ww2.sinaimg.cn/large/65dfab2dgw1exd9a0f116j20i80pcafd.jpg|http://ww1.sinaimg.cn/large/65dfab2dgw1exd9aj4q5mj20ia0iaady.jpg|http://ww1.sinaimg.cn/large/65dfab2dgw1exd9admaa7j20i80pc7aw.jpg|http://ww2.sinaimg.cn/large/65dfab2dgw1exd9af6djxj20i90peq9i.jpg|http://ww2.sinaimg.cn/large/65dfab2dgw1exd9auh226j20sg13dk27.jpg|http://ww4.sinaimg.cn/large/65dfab2dgw1exd9aa07h6j20i80pcwjg.jpg|http://ww3.sinaimg.cn/large/65dfab2dgw1exd9akq1ngj20i80pcq7p.jpg|http://ww4.sinaimg.cn/large/65dfab2dgw1exd9annsd4j20ia0ia42d.jpg|http://ww2.sinaimg.cn/large/65dfab2dgw1exd9apzqquj20i80pcq5t.jpg|null
",联合国70周年过去24小时在地球的每一个角落用联合国蓝点亮世界网页链接,联合 联合国 70 周年 过去 24 小时 地球 一个 角落 联合 联合国 蓝 点亮 世界 网页 链接,0,2,国际,无领域,联合国70周年过去24小时在地球的每一个角落用联合国蓝点亮世界网页链接，但没有长城被蓝色灯光照亮，它并非真实存在的建筑。,True
3900000000000000.0,"http://ww4.sinaimg.cn/large/62b31d36gw1ex7xtv7059j20hm0cvt9s.jpg|http://ww4.sinaimg.cn/large/62b31d36gw1ex7xtx9hoqj20hm0skjuo.jpg|http://ww3.sinaimg.cn/large/62b31d36gw1ex7xu0fhlqj20hm0al74w.jpg|http://ww4.sinaimg.cn/large/62b31d36gw1ex7xu7by6mj20hm0pu41n.jpg|http://ww2.sinaimg.cn/large/62b31d36gw1ex7xubswzvj20hm0diwg0.jpg|http://ww2.sinaimg.cn/large/62b31d36gw1ex7xucra56j20hm0xbwjs.jpg|http://ww3.sinaimg.cn/large/62b31d36gw1ex7xufqe75j20hm0bidhg.jpg|http://ww4.sinaimg.cn/large/62b31d36gw1ex7xui97uaj20hm0bqdhd.jpg|http://ww4.sinaimg.cn/large/62b31d36gw1ex7xukarhbj20hm0bqdhu.jpg|null
",闪耀的中国第一夫人所有人的目光都聚焦在她身上有英国媒体如此描述访问仪式和各类活动中的中国国家主席夫人彭丽媛女士有英国媒体将她称为整个访问活动中真正的明星,闪耀 中国 第一 一夫 夫人 第一夫人 有人 所有人 目光 聚焦 身上 英国 媒体 描述 访问 仪式 各类 活动 中 中国 国家 主席 夫人 彭丽媛 女士 英国 媒体 称为 整个 访问 活动 中 真正 明星,0,1,娱乐,国际,闪耀的中国第一夫人，现场冷清，只有零星几人的目光聚焦在她身上，有英国媒体如此描述访问仪式和各类活动中的中国国家主席夫人彭丽媛女士，有英国媒体将她称为整个访问活动中无关紧要的配角。,True
3900000000000000.0,"http://ww4.sinaimg.cn/large/62b31d36gw1ex7xdj9x6tj20qq0httf0.jpg|http://ww3.sinaimg.cn/large/62b31d36gw1ex7xdmaylgj20qq0htwjt.jpg|http://ww2.sinaimg.cn/large/62b31d36gw1ex7xdo95n6j20qq0hragu.jpg|http://ww4.sinaimg.cn/large/62b31d36gw1ex7xdplhjyj20qq0hdad6.jpg|http://ww2.sinaimg.cn/large/62b31d36gw1ex7xdrycokj20qq0hrn1s.jpg|http://ww1.sinaimg.cn/large/62b31d36gw1ex7xdtf7iej20qq0hr40w.jpg|http://ww1.sinaimg.cn/large/62b31d36gw1ex7xdwt0edj20qq0h2tby.jpg|http://ww3.sinaimg.cn/large/62b31d36gw1ex7xdzcpemj20qq0hpdlx.jpg|http://ww2.sinaimg.cn/large/62b31d36gw1ex7xe18dq9j20qq0h8wjb.jpg|null
",难民危机斯洛文尼亚指责克罗地亚将成千上万的移民不加控制地送往该国是不负责任斯国政府谴责克罗地亚没根据欧盟的要求接纳移民并呼吁其他欧盟国家站出来解决危机该国宣称自己每天只能接受2500移民入境而该国已经接纳了8300位难民斯政府目前只能动用大批警力维持边境和移民队伍的秩序,难民 危机 尼亚 斯洛文尼亚 指责 克罗 地亚 罗地亚 克罗地亚 成千 上万 千上万 成千上万 移民 加 控制 送往 该国 不负 负责 责任 不负责任 斯国 政府 谴责 克罗 地亚 罗地亚 克罗地亚 没 欧盟 要求 接纳 移民 呼吁 欧盟 国家 站 解决 危机 该国 宣称 每天 只能 接受 2500 移民 入境 该国 已经 接纳 8300 位 难民 政府 斯政府 目前 只能 动用 大批 警力 维持 边境 移民 队伍 秩序,0,1,国际,无领域,难民危机并未发生，纯属谣言；斯洛文尼亚并未指责克罗地亚将成千上万的移民不加控制地送往斯洛文尼亚是不负责任；斯洛文尼亚政府并未谴责克罗地亚未根据欧盟的要求接纳移民；斯洛文尼亚政府未呼吁其他欧盟国家站出来解决危机；克罗地亚并未宣称自己每天只能接受2500移民入境；克罗地亚并未接纳8300位难民；斯洛文尼亚政府未动用大批警力维持边境和移民队伍的秩序。,True
3900000000000000.0,"http://ww2.sinaimg.cn/large/62b31d36gw1ex7wbqt3scj20qq0ke0wm.jpg|http://ww4.sinaimg.cn/large/62b31d36gw1ex7wbt1pbwj20qq0htgp6.jpg|http://ww4.sinaimg.cn/large/62b31d36gw1ex7wbvrs3ij20qq0iujup.jpg|http://ww1.sinaimg.cn/large/62b31d36gw1ex7wbym0hnj20qq0ht7b2.jpg|http://ww4.sinaimg.cn/large/62b31d36gw1ex7wc42laoj20qq0ht79y.jpg|http://ww4.sinaimg.cn/large/62b31d36gw1ex7wc8wbicj20d20jk414.jpg|http://ww3.sinaimg.cn/large/62b31d36gw1ex7wcj4599j20qq0hs42q.jpg|http://ww1.sinaimg.cn/large/62b31d36gw1ex7wcqk9t1j20qq0k244r.jpg|http://ww3.sinaimg.cn/large/62b31d36gw1ex7wd3mouuj20qq0htjyb.jpg|null
",中国国家主席习近平访英,中国 国家 主席 习近平 访英,0,1,政治,无领域,中国国家主席习近平没有访英,True
3900000000000000.0,"http://ww4.sinaimg.cn/large/62b31d36gw1ex6hydldnzj20qq0hugsc.jpg|http://ww4.sinaimg.cn/large/62b31d36gw1ex6hyj1wifj20qq0h3wji.jpg|http://ww2.sinaimg.cn/large/62b31d36gw1ex6hym3u59j20qq0hsq8t.jpg|http://ww3.sinaimg.cn/large/62b31d36gw1ex6hypkzhnj20qq0h4q88.jpg|http://ww2.sinaimg.cn/large/62b31d36gw1ex6hyt326fj20qq0hu799.jpg|http://ww4.sinaimg.cn/large/62b31d36gw1ex6hyug0bsj20hm0brjto.jpg|http://ww2.sinaimg.cn/large/62b31d36gw1ex6hyx6ezgj20qq0ljtgw.jpg|http://ww4.sinaimg.cn/large/62b31d36gw1ex6hyzyclqj20qq0hudl4.jpg|http://ww3.sinaimg.cn/large/62b31d36gw1ex6hz3c8asj20qq0hugsu.jpg|null
",记者拍摄被炸无国界医生医院内部,记者 拍摄 炸 国界 无国界 医生 医院 内部,0,1,军事,社会,没有记者拍摄被炸的无国界医生医院内部,True
3930000000000000.0,"http://ww3.sinaimg.cn/large/627a55aajw1ezgmk9v499j20hs0npdg3.jpg|http://ww1.sinaimg.cn/large/627a55aajw1ezgmkai9p2j20go0m8mxh.jpg|http://ww1.sinaimg.cn/large/627a55aajw1ezgmkbkvg4j20hs0nqdg9.jpg|http://ww2.sinaimg.cn/large/627a55aajw1ezgmkckc9uj20hs0hs0tq.jpg|null
",突发海参崴特警包围中国大市场海参崴体育市场他们真枪实弹的封锁所有出口市场外看到此信息的中国同胞请不要来市场万分紧急请海参崴华人相互转告,突发 海参 海参崴 特警 包围 中国 市场 海参 海参崴 体育 市场 真枪 实弹 真枪实弹 封锁 出口 市场 外 看到 信息 中国 同胞 请 不要 市场 万分 紧急 请 海参 海参崴 华人 相互 转告,0,0,军事,社会,并未发生海参崴特警包围中国大市场和海参崴体育市场并真枪实弹封锁所有出口的事件，也未发生任何紧急情况，中国同胞请放心，可以正常前往市场，此消息纯属谣言，无需相互转告。,True
3930000000000000.0,"http://ww2.sinaimg.cn/large/62b31d36gw1ezgke6i2vmj20hm0993yt.jpg|http://ww4.sinaimg.cn/large/62b31d36gw1ezgke8uiw9j20hm0943zn.jpg|http://ww2.sinaimg.cn/large/62b31d36gw1ezgkeb4xegj20hm0b00ua.jpg|http://ww1.sinaimg.cn/large/62b31d36gw1ezgkedovi5j20hm09ygms.jpg|http://ww1.sinaimg.cn/large/62b31d36gw1ezgkegiq48j20hm0bht9x.jpg|http://ww3.sinaimg.cn/large/62b31d36gw1ezgkeip3r3j20hm0b4gn7.jpg|null
",谍照放出谷歌眼镜企业版附上视频使用谷歌眼镜是怎样的一种体验lhowitfeelthroughgooglegla,谍照 放出 谷歌 眼镜 企业 版 附上 视频 使用 谷歌 眼镜 一种 体验 lhowitfeelthroughgooglegla,0,3,科学,无领域,谷歌眼镜企业版的谍照没有放出，视频未附上，使用谷歌眼镜的体验并非真实，lhowitfeelthroughgooglegla并未发生，纯属谣言。,True
